observed_on_string,observed_on,latitude,longitude,positional_accuracy,geoprivacy,scientific_name
2019/03/23 8:05 AM PDT,2019-03-23,33.2732088394,-116.6451575581,64,,Lamium amplexicaule
2019-03-24 10:15:36 AM CDT,2019-03-24,34.74782606,-86.51044247,8,,Lamium amplexicaule
Sun Mar 24 2019 18:10:33 GMT-0400 (EDT),2019-03-24,40.8321033333,-73.9470366667,10,,Lamium amplexicaule
Sun Mar 24 2019 19:07:52 GMT-0500 (CDT),2019-03-24,36.3245953108,-91.9296084904,5,,Lamium amplexicaule
2019-03-23 4:29:03 PM CDT,2019-03-23,36.1662107278,-86.7280885577,6,,Lamium amplexicaule
2019-03-25 5:07:17 PM CDT,2019-03-25,35.957947951,-85.4517439753,11,,Lamium amplexicaule
2019/03/25 12:34 PM CDT,2019-03-25,34.4449310611,-87.178435443,27,,Lamium amplexicaule
Tue Mar 26 2019 14:12:06 GMT-0500 (CDT),2019-03-26,35.6412701582,-97.7150855585,37,,Lamium amplexicaule
2019/02/26 10:36 AM CST,2019-02-26,33.5784866667,-101.8158816667,,,Lamium amplexicaule
Sun Mar 24 2019 15:20:00 GMT-0400 (EDT),2019-03-24,38.81918,-77.0391611667,5,,Lamium amplexicaule
Wed Mar 27 2019 16:07:59 GMT-0400 (EDT),2019-03-27,42.3658445618,-71.2570442633,5,,Lamium amplexicaule
Thu Mar 28 2019 10:35:56 GMT-0400 (EDT),2019-03-28,40.2943051947,-74.7260203519,5,,Lamium amplexicaule
2019-03-28 10:40:19 AM EDT,2019-03-28,39.06561763,-77.20874238,6,,Lamium amplexicaule
Thu Mar 28 2019 10:16:48 GMT-0500 (CDT),2019-03-28,32.3169310112,-95.2519134433,5,,Lamium amplexicaule
Thu Mar 07 2019 10:53:41 GMT-0600 (CST),2019-03-07,34.718625,-86.636125,10,,Lamium amplexicaule
2019-03-28 1:06:31 PM EDT,2019-03-28,40.0276222229,-75.2287597656,,,Lamium amplexicaule
Thu Mar 28 2019 13:34:54 GMT-0400 (EDT),2019-03-28,35.4836733733,-79.1268837266,10,,Lamium amplexicaule
2019/03/28 1:57 PM CDT,2019-03-28,33.1276890514,-88.1490005778,14,,Lamium amplexicaule
2019-03-29 1:51:17 PM EDT,2019-03-29,34.24115426,-79.93651101,6,,Lamium amplexicaule
Fri Mar 29 2019 14:15:28 GMT-0500 (CDT),2019-03-29,34.6424826227,-86.7179341396,582,obscured,Lamium amplexicaule
2019-03-30 5:05:53 PM PDT,2019-03-30,33.5198936462,-117.2793579102,,,Lamium amplexicaule
2019/03/30 2:25 PM EDT,2019-03-30,37.4202485887,-75.9221835927,2956,,Lamium amplexicaule
Sat Mar 30 2019 17:16:42 GMT-0400 (EDT),2019-03-30,38.79047,-77.0508028333,5,,Lamium amplexicaule
Sat Mar 30 2019 17:15:50 GMT-0400 (EDT),2019-03-30,38.79055,-77.0509555,10,,Lamium amplexicaule
2019-03-30 2:50:42 PM EDT,2019-03-30,37.5230121771,-77.4688214064,66,,Lamium amplexicaule
Sat Mar 30 2019 17:59:41 GMT-0500 (CDT),2019-03-30,38.7316895496,-82.9961697332,21,,Lamium amplexicaule
